#{"t_start": 1745976670.6965911, "env_id": "None"}
r,l,t
4.728876,15,0.036696
0.0,100,0.09608
2.447389,5,0.09963
50.089768,100,0.158059
0.894539,100,0.216251
7.390002,100,0.275028
0.0,100,0.332659
0.0,100,0.391694
14.678485,19,0.403575
40.000114,100,0.461133
12.088923,50,0.490583
77.480172,27,0.506907
-1.0,1,0.507923
0.0,100,0.566106
0.0,100,0.623801
74.311326,5,0.627548
0.0,100,0.687706
2.369691,100,0.745952
0.0,100,0.802592
2.656276,5,0.806091
59.046164,100,0.863527
8.652456,7,0.868232
18.564325,41,0.892206
0.0,100,0.953902
0.0,100,1.013748
54.513205,100,1.079075
0.0,100,1.143631
4.637529,68,1.18503
11.581623,8,1.190686
23.762111,100,2.109454
19.407153,10,2.116554
0.0,100,2.173891
0.0,100,2.232789
0.0,100,2.289936
0.0,100,2.348546
0.0,100,2.405769
78.664851,8,2.411155
90.538601,12,2.41872
-1.0,1,2.419731
-1.0,19,2.431054
4.16178,7,2.43563
-1.0,68,2.474217
0.0,100,2.530942
0.0,100,2.588343
0.0,100,2.645578
0.0,100,2.702843
0.0,100,2.759991
87.64594,11,2.767196
4.723213,13,2.775409
0.0,100,2.833393
-0.751957,2,2.835116
0.0,100,2.892607
0.0,100,2.950345
49.123867,100,3.007949
0.0,100,3.065365
85.503924,9,3.071417
19.485603,27,3.087761
22.967963,100,3.145711
0.0,100,3.203533
4.723213,8,3.208951
3.214979,3,3.211259
0.0,100,3.268549
0.0,100,4.222254
78.725338,44,4.249717
0.0,100,4.308846
3.320141,5,4.312328
17.625505,27,4.328711
16.628526,12,4.336437
39.831062,14,4.345254
-0.249507,49,4.374082
-1.0,4,4.376897
0.512025,3,4.379271
-1.0,93,4.433684
-1.0,71,4.474821
11.815235,4,4.477887
27.79395,8,4.483359
1.466682,55,4.515919
56.617306,9,4.521865
79.985897,8,4.527335
69.535246,14,4.536223
4.970078,19,4.547856
11.441988,100,4.606234
100.208919,8,4.611737
0.0,100,4.66945
15.302865,4,4.672521
4.00351,15,4.681903
0.0,100,4.784069
27.878931,100,4.831852
0.0,100,4.879515
0.0,100,4.929145
0.0,100,4.977306
48.778403,5,4.990814
79.215321,15,5.000421
4.913433,17,5.01097
68.157258,11,5.018003
4.791761,16,5.027922
-1.0,14,5.036506
3.308856,2,5.038167
0.0,100,5.095252
0.0,100,5.15291
3.346731,30,5.170749
6.569692,25,5.185753
60.255386,24,5.200187
3.978213,3,5.202449
25.430903,5,5.206062
17.858538,6,5.210113
0.0,100,5.267276
4.791761,15,5.276595
0.0,100,5.335377
21.976271,7,5.342103
-1.0,45,5.368056
52.918888,15,5.377382
0.0,100,5.434974
23.067046,5,5.43863
3.047216,4,5.441634
2.509435,2,5.443306
-1.0,1,5.444304
4.401307,64,5.48143
25.430903,9,5.487245
2.514525,3,5.489388
4.970078,7,5.494113
89.809854,5,5.497749
0.0,100,5.555354
6.728998,19,5.567619
31.097829,35,5.589175
0.0,100,5.647422
6.570824,100,6.553019
69.556975,8,6.558632
41.018256,90,6.612339
0.0,100,6.671511
3.651581,2,6.673227
16.007657,5,6.67681
1.466682,29,6.694204
110.583344,14,6.703032
0.0,100,6.76051
3.042623,26,6.776205
31.014231,30,6.794545
-0.751957,2,6.796249
-1.0,50,6.825614
28.274188,8,6.831091
97.260895,9,6.837162
3.483714,2,6.838916
1.498667,12,6.846395
4.637529,13,6.854596
10.994009,4,6.857522
18.95858,10,6.866221
79.263502,5,6.870012
26.904831,8,6.875412
0.894539,100,6.936269
0.0,100,6.998553
1.009334,21,7.01115
0.0,100,7.068583
20.297771,100,7.1264
43.101945,8,7.131763
0.590567,2,7.133646
4.723213,14,7.1425
0.735563,77,7.18662
0.0,100,7.243809
89.954619,11,7.250881
10.964176,4,7.253971
81.930922,11,7.261143
3.379522,7,7.265839
0.0,100,7.323624
0.0,100,7.38097
1.981952,2,7.382659
74.311326,6,7.386901
0.0,100,7.445057
89.038013,7,7.449948
3.296078,4,7.452864
18.319462,17,7.46361
0.0,100,7.52145
3.308856,2,7.523216
21.618121,7,7.528158
6.942766,13,7.54425
0.0,100,7.603807
12.622276,5,7.607503
0.0,100,7.666008
-0.540435,12,7.673898
-1.0,77,7.719021
0.0,100,8.643128
-1.0,5,8.646675
10.016352,15,8.656811
0.0,100,8.715112
4.723213,8,8.720424
90.538601,11,8.727661
18.345074,35,8.748476
17.201658,28,8.765311
89.738105,20,8.777507
-1.0,72,8.81995
92.258295,18,8.831353
0.0,100,8.890329
3.320141,2,8.892226
80.662125,5,8.89605
24.825686,100,8.954507
0.0,100,9.01299
78.661254,41,9.03726
0.0,100,9.094979
5.932458,5,9.098672
8.459375,6,9.102904
4.00351,5,9.106602
0.0,100,9.164473
16.267683,5,9.172825
16.903744,6,9.177126
-0.220775,9,9.182794
0.0,100,9.239856
39.831062,6,9.243948
0.0,100,9.301137
0.0,100,9.358423
4.977298,5,9.361967
24.020287,7,9.366766
15.704471,18,9.377884
5.040785,22,9.391134
7.582558,5,9.394732
0.0,100,9.452064
0.0,100,9.510484
-1.0,91,9.562938
3.481208,2,9.564669
80.95894,100,9.623254
49.34125,89,9.675121
15.360571,13,9.683342
12.598628,100,9.737358
2.981258,100,9.785253
0.0,100,9.833019
0.0,100,9.880146
2.821147,100,9.927519
2.447389,11,9.935725
5.847199,12,9.943325
10.521884,4,9.94633
0.0,100,10.005211
-1.0,97,10.060619
90.156978,8,10.066064
62.725625,11,10.893843
0.681141,13,10.902417
4.723213,9,10.90838
0.0,100,10.965514
0.0,100,11.024398
0.0,100,11.08187
0.0,100,11.138695
-0.751957,2,11.140418
94.477721,29,11.157775
4.728876,21,11.170319
0.0,100,11.22772
0.0,100,11.284779
63.800696,30,11.303086
7.364352,6,11.307446
1.479607,18,11.318352
0.0,100,11.376631
4.723213,15,11.385862
0.0,100,11.442794
1.981952,3,11.445093
88.286627,8,11.450617
31.531119,7,11.455448
11.523943,3,11.45776
5.847199,5,11.461497
3.810661,3,11.463823
3.137044,2,11.465497
0.590567,2,11.467163
3.399318,8,11.476821
2.651574,5,11.480299
3.483714,2,11.481976
77.236478,5,11.485642
31.014231,38,11.507961
3.810661,12,11.515406
6.472116,19,11.528523
1.172513,12,11.536078
3.878895,36,11.557492
0.0,100,11.616213
0.0,100,11.674162
4.970078,7,11.679026
3.122302,5,11.683534
17.201658,11,11.69051
6.788544,22,11.703862
8.412009,21,11.716575
4.728876,27,11.732573
21.618121,10,11.739037
15.062549,7,11.743624
0.0,100,11.800393
1.177679,2,11.802078
62.033975,4,11.805065
1.981258,2,11.806714
0.0,100,11.863857
11.380075,38,11.886024
4.970078,9,11.891871
12.009018,13,11.900062
27.179003,100,11.95856
4.561154,10,11.96533
6.798455,9,11.971291
83.63154,14,11.980067
0.0,100,12.036815
4.016983,6,12.041157
18.096771,100,12.098347
16.181188,28,12.935544
0.0,100,12.992629
62.704138,11,12.99974
2.509435,2,13.001443
0.0,100,13.058686
73.151651,13,13.06691
3.214979,2,13.068591
29.774531,26,13.085779
0.0,100,13.142737
32.565473,15,13.152286
1.299585,8,13.157629
5.440919,100,13.215234
22.584446,12,13.223202
0.0,100,13.279983
90.34928,50,13.309315
20.762459,100,13.366388
5.097477,4,13.369328
9.870312,17,13.379689
0.0,100,13.439952
14.955053,8,13.445341
0.070921,3,13.44766
1.981258,20,13.459581
22.467766,7,13.464395
-0.751957,3,13.466646
4.016983,11,13.473578
0.0,100,13.530774
21.618121,6,13.535119
0.0,100,13.592812
81.461815,6,13.597106
45.845449,15,13.606498
0.0,100,13.664782
0.0,100,13.721642
32.336109,50,13.750643
77.689826,5,13.754337
0.0,100,13.811339
10.78308,8,13.816721
18.427201,5,13.820258
-1.0,11,13.827042
4.00351,19,13.838738
80.931542,15,13.848414
65.361732,14,13.85728
1.382912,3,13.859581
-1.0,1,13.860604
-0.347833,11,13.867392
3.379522,15,13.876679
61.860322,8,13.881942
87.439105,7,13.886754
30.675094,14,13.895638
0.0,100,13.952811
3.137044,2,13.959452
1.178788,8,13.964783
3.379522,24,13.979113
3.222495,3,13.981444
3.448711,2,13.98311
17.252111,100,14.040066
0.0,100,14.097126
30.82415,14,14.105867
9.202395,4,14.109095
0.0,100,15.019423
5.101681,3,15.021888
77.469544,14,15.030761
4.376047,5,15.03427
0.0,100,15.092213
28.770617,18,15.103304
0.0,100,15.161253
60.764231,4,15.164274
4.186422,3,15.166614
0.0,100,15.223581
0.0,100,15.280485
-1.0,24,15.294537
11.936432,7,15.299403
0.0,100,15.356045
0.0,100,15.429844
0.0,100,15.477268
0.0,100,15.524475
22.897753,100,15.572609
106.045083,5,15.575633
